timestamp,container,cpu_percent,memory_mb,memory_limit_mb,memory_percent
2025-09-11 19:58:22,horizon-deep-server,0.00,7.949,512,1.55
2025-09-11 19:58:25,horizon-deep-server,1.03,9.906,512,1.93
2025-09-11 19:58:29,horizon-proxy-server,0.00,8.18,512,1.60
2025-09-11 19:58:29,horizon-deep-server,0.00,9.32,512,1.82
2025-09-11 19:58:32,horizon-proxy-server,0.93,8.934,512,1.74
2025-09-11 19:58:32,horizon-deep-server,0.87,12.34,512,2.41
2025-09-11 19:58:32,horizon-sse-go-loadtest-run-6563d2e3e538,31.49,24.5,16035.84,0.15
2025-09-11 19:58:37,horizon-sse-go-loadtest-run-6563d2e3e538,34.81,64.83,16035.84,0.40
2025-09-11 19:58:37,horizon-proxy-server,55.02,95.14,512,18.58
2025-09-11 19:58:37,horizon-deep-server,31.75,66.92,512,13.07
2025-09-11 19:58:40,horizon-sse-go-loadtest-run-6563d2e3e538,51.47,103.8,16035.84,0.65
2025-09-11 19:58:40,horizon-proxy-server,84.03,160.9,512,31.43
2025-09-11 19:58:40,horizon-deep-server,49.29,122.8,512,23.99
2025-09-11 19:58:44,horizon-sse-go-loadtest-run-6563d2e3e538,61.97,140.1,16035.84,0.87
2025-09-11 19:58:44,horizon-proxy-server,101.07,222.4,512,43.45
2025-09-11 19:58:44,horizon-deep-server,59.93,161.7,512,31.58
2025-09-11 19:58:48,horizon-sse-go-loadtest-run-6563d2e3e538,53.40,169.6,16035.84,1.06
2025-09-11 19:58:48,horizon-proxy-server,88.46,232.3,512,45.38
2025-09-11 19:58:48,horizon-deep-server,52.73,175,512,34.18
2025-09-11 19:58:51,horizon-sse-go-loadtest-run-6563d2e3e538,51.06,171.1,16035.84,1.07
2025-09-11 19:58:51,horizon-proxy-server,82.34,270,512,52.74
2025-09-11 19:58:51,horizon-deep-server,56.43,179.1,512,34.98
2025-09-11 19:58:55,horizon-sse-go-loadtest-run-6563d2e3e538,33.76,171.1,16035.84,1.07
2025-09-11 19:58:55,horizon-proxy-server,75.04,276.5,512,54.00
2025-09-11 19:58:55,horizon-deep-server,46.00,165.1,512,32.24
2025-09-11 19:58:58,horizon-sse-go-loadtest-run-6563d2e3e538,15.68,171.3,16035.84,1.07
2025-09-11 19:58:58,horizon-proxy-server,34.81,276.5,512,54.00
2025-09-11 19:58:58,horizon-deep-server,26.06,138.3,512,27.00
